N,P,K,temperature,humidity,ph,rainfall,label
23,40,15,24.19,62.67,8.14,51.03,mothbeans
85,37,39,23.98,86.6,6.1,244.78,rice
24,31,31,32.74,55.51,6.08,89.08,mango
26,24,36,26.12,93.61,5.91,212.15,coconut
32,44,20,28.84,82.88,6.78,54.07,mungbean
108,18,29,25.86,53.9,6.44,148.73,coffee
115,81,52,28.81,76.58,6.62,97.55,banana
31,22,45,20.24,90.51,6.69,101.94,pomegranate
34,72,22,37.75,52.87,6.69,142.43,pigeonpeas
31,76,19,31.01,55.5,5.57,163.65,pigeonpeas
97,13,48,28.94,93.18,6.39,25.95,muskmelon
22,69,23,27.9,65.92,6.91,32.5,lentil
89,16,47,25.96,81.17,6.0,50.31,watermelon
29,59,18,19.99,21.7,5.76,55.35,kidneybeans
42,62,21,32.24,66.64,7.31,66.63,blackgram
35,26,28,26.31,97.31,5.85,176.54,coconut
35,64,86,17.25,18.39,7.04,69.22,chickpea
22,148,203,21.61,93.71,5.83,103.02,apple
81,45,17,23.24,63.95,6.7,93.32,maize
92,45,40,24.45,76.44,7.28,182.73,jute
35,140,201,25.3,81.14,5.66,68.86,grapes
132,44,18,22.89,78.93,7.04,70.86,cotton
93,21,49,28.66,91.19,6.29,25.44,muskmelon
93,14,52,28.25,91.58,6.34,23.9,muskmelon
90,16,53,26.82,82.77,6.95,49.74,watermelon
31,22,38,20.0,87.62,6.35,103.17,pomegranate
24,3,33,27.01,94.62,5.96,196.64,coconut
38,54,48,32.24,92.22,6.8,204.71,papaya
111,34,28,26.91,53.8,6.23,179.32,coffee
23,69,18,28.01,67.36,6.9,41.46,lentil
33,18,34,35.65,49.98,6.61,93.03,mango
32,68,82,19.03,22.65,7.2,71.37,chickpea
22,61,21,23.41,64.23,6.97,49.41,lentil
78,49,41,22.61,86.05,6.93,206.77,rice
17,65,23,30.23,45.44,6.09,175.33,pigeonpeas
97,11,50,25.71,86.57,6.73,47.2,watermelon
130,50,20,23.18,84.83,6.16,87.23,cotton
36,74,22,22.42,68.67,7.04,38.54,lentil
121,12,50,28.78,94.8,6.5,25.97,muskmelon
90,20,50,29.0,94.53,6.34,26.74,muskmelon
92,82,54,26.92,80.55,6.23,104.27,banana
79,46,40,24.73,84.68,6.13,249.97,rice
18,64,80,18.86,16.01,6.7,75.53,chickpea
31,41,23,29.07,55.56,7.72,35.85,mothbeans
24,63,25,26.34,65.67,7.55,41.83,lentil
55,61,52,30.21,92.41,6.74,173.33,papaya
95,50,39,24.32,75.67,7.12,184.87,jute
95,38,17,22.78,80.54,7.29,55.44,cotton
112,49,21,23.37,81.56,6.82,75.42,cotton
51,77,18,28.4,71.82,7.31,65.86,blackgram
65,56,38,23.38,77.12,6.35,160.51,jute
41,53,25,32.0,82.79,6.71,42.96,mungbean
20,70,20,15.59,22.1,5.63,137.45,kidneybeans
28,35,29,32.18,46.41,4.98,95.72,mango
84,46,42,24.95,79.76,7.26,147.78,jute
98,22,50,28.85,91.61,6.5,24.99,muskmelon
41,50,51,40.39,93.07,6.77,146.01,papaya
16,44,21,31.54,82.82,7.05,57.52,mungbean
25,18,26,27.74,94.78,6.28,194.15,coconut
41,61,51,35.52,94.22,7.02,156.6,papaya
42,129,202,24.38,92.51,5.87,104.59,apple
21,19,30,30.6,45.7,6.49,97.73,mango
103,20,49,26.35,85.23,6.42,52.7,watermelon
30,38,16,31.5,44.99,6.07,53.31,mothbeans
32,19,6,19.05,91.55,5.95,112.79,orange
77,43,40,24.49,74.98,6.46,147.44,jute
48,74,16,30.69,62.94,7.96,67.69,blackgram
40,74,19,30.22,67.9,7.11,71.17,blackgram
33,42,23,27.65,40.27,5.29,36.78,mothbeans
33,74,19,22.93,67.2,6.97,35.42,lentil
88,42,42,21.86,82.36,6.55,243.91,rice
21,129,203,27.38,81.47,6.12,66.59,grapes
93,18,50,23.62,82.38,6.82,54.3,watermelon
103,22,33,25.52,68.27,6.89,170.17,coffee
15,18,6,17.93,92.92,6.01,113.11,orange
81,13,53,26.92,95.11,6.25,24.25,muskmelon
54,72,19,29.61,69.23,7.27,61.15,blackgram
107,53,19,24.48,76.97,8.15,72.32,cotton
16,58,17,30.0,85.26,6.88,57.02,mungbean
39,62,26,30.7,52.37,5.7,162.84,pigeonpeas
18,17,28,27.11,95.64,6.13,150.6,coconut
24,47,19,28.2,52.36,7.52,55.91,mothbeans
36,20,43,19.98,86.2,6.23,103.79,pomegranate
98,27,26,24.34,59.38,6.92,143.91,coffee
31,124,202,12.06,82.91,5.77,73.9,grapes
45,62,52,33.11,92.97,6.83,76.91,papaya
88,73,49,26.12,81.12,5.62,101.42,banana
117,52,19,22.04,78.11,7.18,71.76,cotton
33,6,31,26.88,93.61,6.44,177.66,coconut
30,22,27,29.27,47.45,5.85,97.56,mango
26,27,10,25.05,94.42,6.65,114.64,orange
24,17,30,27.53,97.74,6.11,122.93,coconut
80,48,23,19.96,67.26,6.45,95.14,maize
32,45,22,28.66,62.74,2.69,45.27,mothbeans
29,24,10,26.93,91.99,6.45,102.86,orange
85,22,51,26.26,88.23,6.32,50.1,watermelon
118,21,32,22.82,54.72,6.23,171.71,coffee
80,42,39,22.17,84.99,6.63,245.34,rice
28,54,23,30.25,57.61,7.9,46.72,mothbeans
76,48,23,23.09,63.33,6.51,111.84,maize
32,21,40,22.71,87.38,6.78,108.94,pomegranate
129,48,19,24.46,78.35,6.62,77.63,cotton
20,126,196,36.61,84.18,5.6,69.59,grapes
17,72,15,18.01,22.52,5.84,119.96,kidneybeans
93,22,49,27.94,93.3,6.61,28.04,muskmelon
36,28,34,31.19,52.58,5.46,92.99,mango
107,12,54,28.4,93.71,6.31,19.35,muskmelon
93,26,51,24.21,89.01,6.33,54.05,watermelon
24,36,17,25.63,50.01,8.59,52.4,mothbeans
34,30,14,20.27,92.79,6.53,111.74,orange
124,48,22,25.14,79.95,7.48,97.09,cotton
26,59,17,18.92,22.19,5.85,64.14,kidneybeans
115,12,50,27.86,91.3,6.59,26.4,muskmelon
110,23,28,24.16,69.19,6.66,157.14,coffee
108,13,50,24.12,82.55,6.26,44.16,watermelon
90,36,31,27.08,60.92,6.84,182.63,coffee
34,134,199,22.96,95.62,5.86,110.81,apple
34,43,27,34.54,45.76,5.7,92.22,mango
28,12,9,15.18,91.72,6.43,112.0,orange
27,63,19,19.96,21.73,5.68,83.24,kidneybeans
27,65,18,24.75,22.68,5.91,105.24,kidneybeans
46,50,48,21.46,93.37,6.85,82.65,papaya
26,19,37,20.13,88.01,5.86,105.23,pomegranate
30,26,29,27.08,94.43,6.13,176.23,coconut
26,19,41,22.92,87.37,5.86,105.49,pomegranate
32,55,23,22.47,66.63,5.79,42.83,lentil
66,49,38,21.6,84.61,6.04,260.96,rice
119,46,16,23.76,79.22,6.82,72.02,cotton
31,134,203,28.29,81.75,6.24,75.58,grapes
27,2,7,27.34,93.05,7.05,115.45,orange
98,48,23,20.53,67.95,6.59,75.6,maize
106,17,52,27.57,90.28,6.18,28.17,muskmelon
25,35,29,32.07,50.32,4.81,95.98,mango
86,49,45,23.93,84.26,6.53,284.48,rice
83,41,44,23.31,77.94,6.49,176.3,jute
47,70,21,28.8,66.33,6.59,69.74,blackgram
86,79,49,27.78,80.64,6.07,104.41,banana
32,25,32,25.9,97.27,5.69,187.03,coconut
22,127,199,13.46,81.28,6.0,66.1,grapes
16,16,30,27.18,91.36,6.23,204.15,coconut
27,126,199,34.51,82.05,5.81,71.72,grapes
95,80,46,27.41,79.61,6.07,109.31,banana
48,64,17,32.39,69.69,7.53,68.8,blackgram
125,58,21,23.44,78.24,6.53,80.32,cotton
28,122,204,22.83,82.84,6.15,69.94,grapes
19,68,19,22.85,20.9,5.63,120.61,kidneybeans
20,15,28,26.24,89.39,5.81,175.17,coconut
39,51,51,36.5,91.64,6.78,161.58,papaya
27,48,25,29.37,84.66,6.7,42.79,mungbean
23,46,24,26.03,44.54,8.82,49.33,mothbeans
29,75,21,18.68,65.58,6.83,40.05,lentil
19,27,28,30.93,53.54,5.8,91.17,mango
85,28,25,26.78,63.25,6.92,186.9,coffee
118,27,46,28.12,94.76,6.31,24.8,muskmelon
96,75,50,29.92,74.35,6.17,93.64,banana
122,50,22,24.58,81.15,6.76,92.29,cotton
39,139,199,23.58,82.4,6.36,71.94,grapes
54,53,47,26.84,92.12,6.85,133.93,papaya
24,34,30,34.17,49.05,5.81,92.94,mango
25,127,200,22.64,93.19,5.52,109.74,apple
16,19,46,20.24,88.46,7.23,105.1,pomegranate
27,133,202,21.51,91.81,5.77,122.39,apple
25,58,77,17.35,16.55,7.44,75.41,chickpea
19,65,21,20.24,23.06,5.5,86.2,kidneybeans
90,26,32,26.91,65.12,6.42,155.09,coffee
38,20,30,30.12,45.23,4.94,93.3,mango
92,87,46,27.41,81.22,6.04,93.48,banana
34,122,199,23.33,81.14,6.05,64.86,grapes
114,88,50,30.02,79.8,5.97,95.04,banana
39,12,28,30.89,46.67,4.19,94.63,mango
45,71,17,27.99,69.08,6.95,63.64,blackgram
24,66,20,36.55,57.19,6.07,140.49,pigeonpeas
67,50,19,23.44,61.91,5.86,76.93,maize
36,32,29,31.21,45.81,5.59,93.84,mango
89,42,24,25.11,67.43,6.0,85.82,maize
23,129,200,21.82,92.05,5.79,117.17,apple
76,55,42,23.5,82.02,6.64,221.09,rice
128,53,21,23.71,73.75,6.88,73.11,cotton
77,59,22,22.29,60.33,6.13,98.13,maize
21,142,206,3.75,81.63,6.12,71.22,grapes
97,35,30,26.74,50.56,6.68,126.93,coffee
87,55,43,24.65,72.25,7.15,187.88,jute
27,73,16,17.18,24.75,5.64,111.47,kidneybeans
28,29,26,33.47,48.95,5.77,95.7,mango
17,22,41,22.25,87.69,6.6,107.6,pomegranate
32,128,203,14.49,82.46,6.1,70.89,grapes
86,50,41,24.4,75.65,6.29,159.79,jute
15,24,39,21.64,91.13,7.01,106.65,pomegranate
23,19,10,12.87,93.13,7.0,104.69,orange
76,47,36,23.06,85.72,6.39,216.95,rice
75,55,38,25.76,74.19,6.97,174.63,jute
19,68,21,25.03,65.89,6.7,39.16,lentil
111,46,20,22.96,79.5,7.18,85.99,cotton
28,41,17,29.8,44.89,7.08,59.84,mothbeans
84,44,17,24.85,54.34,6.46,90.74,maize
78,58,37,24.01,91.25,6.28,195.14,rice
24,11,44,20.75,90.18,5.9,99.14,pomegranate
97,18,54,24.13,84.2,6.32,48.63,watermelon
83,17,47,27.97,92.02,6.45,25.31,muskmelon
78,45,37,24.46,74.94,6.81,180.62,jute
114,32,23,23.45,81.4,7.81,87.2,cotton
36,51,24,27.89,53.18,8.15,65.53,mothbeans
27,119,201,29.79,80.53,6.05,69.74,grapes
25,135,202,21.69,80.35,5.9,71.56,grapes
87,48,40,24.06,79.81,6.55,143.75,jute
48,69,51,38.45,90.75,6.98,229.29,papaya
40,72,23,19.18,22.34,5.85,82.08,kidneybeans
103,21,52,25.09,91.19,6.07,59.21,watermelon
26,37,22,37.05,83.79,6.4,54.53,mungbean
87,23,29,25.2,56.17,6.5,163.7,coffee
32,64,19,33.54,52.8,5.87,187.91,pigeonpeas
27,45,15,30.34,56.85,4.9,54.21,mothbeans
24,52,24,30.34,42.73,10.81,37.59,mothbeans
39,18,30,26.74,96.24,6.11,150.95,coconut
26,18,31,27.0,97.68,5.98,174.29,coconut
26,130,203,10.34,82.94,6.04,70.88,grapes
67,37,20,21.73,67.16,6.53,84.89,maize
22,133,198,22.34,93.28,5.38,106.47,apple
21,21,42,23.04,88.86,6.24,100.95,pomegranate
12,76,14,36.23,49.24,5.23,142.01,pigeonpeas
98,18,50,26.02,86.35,6.4,45.06,watermelon
34,75,80,18.41,19.43,6.09,59.1,chickpea
32,133,203,23.4,80.37,5.83,72.08,grapes
21,64,19,18.0,62.83,6.11,47.72,lentil
125,34,19,23.38,82.51,6.59,89.06,cotton
25,49,23,31.38,56.24,4.74,54.41,mothbeans
19,26,31,31.46,44.23,5.32,95.91,mango
25,117,201,37.96,82.63,6.04,68.19,grapes
49,76,23,27.93,68.66,7.23,64.93,blackgram
110,8,48,25.0,89.12,6.78,48.34,watermelon
104,11,47,24.95,85.98,6.23,53.85,watermelon
19,64,24,20.59,66.27,6.77,49.83,lentil
98,17,48,28.2,92.49,6.71,27.73,muskmelon
24,20,30,27.03,96.73,6.17,171.11,coconut
110,39,22,25.13,78.99,7.84,77.71,cotton
96,49,21,16.88,61.73,5.44,79.67,maize
28,67,23,30.4,56.84,6.1,144.25,pigeonpeas
22,21,31,26.31,97.98,5.86,181.59,coconut
27,5,11,22.11,91.64,6.63,109.69,orange
32,130,197,26.24,82.27,6.01,70.7,grapes
21,21,9,20.66,94.0,6.54,114.82,orange
93,82,51,28.74,80.89,6.12,109.53,banana
31,142,201,12.72,81.37,6.0,73.34,grapes
16,50,23,31.49,83.75,6.74,41.75,mungbean
18,132,198,23.56,79.55,6.23,65.39,grapes
45,53,50,31.22,92.24,6.95,211.6,papaya
100,82,47,27.53,82.38,6.1,107.87,banana
42,48,51,32.9,93.06,6.7,102.21,papaya
27,131,201,29.54,80.92,6.21,70.88,grapes
15,45,17,28.08,44.64,4.51,40.73,mothbeans
17,16,10,21.87,92.44,6.78,109.14,orange
110,22,31,24.99,62.11,6.94,170.36,coffee
29,46,20,31.58,79.49,6.49,42.32,mungbean
84,43,21,20.2,67.88,5.67,81.73,maize
38,43,17,28.26,55.93,6.27,36.46,mothbeans
25,45,20,33.24,83.87,6.82,44.5,mungbean
81,53,42,24.11,86.62,6.62,221.19,rice
44,59,49,32.18,90.74,6.82,201.81,papaya
29,46,20,28.18,50.93,6.73,42.52,mothbeans
26,138,201,27.84,82.11,5.81,68.1,grapes
24,34,28,30.09,49.22,5.58,88.77,mango
60,45,22,25.97,74.31,6.1,98.72,maize
17,27,24,31.78,56.17,5.14,92.27,mango
17,34,32,35.88,49.71,6.5,100.62,mango
91,22,30,27.27,67.54,6.34,187.02,coffee
26,17,27,30.34,50.19,6.5,94.7,mango
133,51,20,25.43,79.65,6.79,68.01,cotton
19,18,35,25.3,94.25,6.27,184.71,coconut
74,46,39,20.66,86.69,6.8,239.81,rice
32,51,17,28.32,49.27,5.28,52.21,mothbeans
32,62,85,19.21,21.47,6.93,73.45,chickpea
21,20,41,21.97,88.75,6.7,106.65,pomegranate
41,31,40,22.25,86.49,6.19,105.07,pomegranate
16,126,201,23.83,80.87,5.38,69.17,grapes
94,18,51,25.91,82.06,6.97,49.43,watermelon
94,52,17,28.12,59.01,6.11,76.25,maize
22,24,30,27.16,93.04,6.26,208.32,coconut
96,39,45,25.44,74.15,6.64,174.97,jute
78,53,42,23.3,82.85,6.26,217.78,rice
35,126,197,31.58,83.4,5.78,69.13,grapes
89,42,37,23.58,74.9,7.67,149.58,jute
26,60,17,27.86,89.99,6.76,44.82,mungbean
38,50,17,33.07,84.25,6.78,49.0,mungbean
19,126,203,21.95,93.02,6.12,114.11,apple
32,74,18,25.35,64.81,6.75,50.77,lentil
34,80,15,30.97,67.56,6.66,42.85,lentil
23,72,20,26.59,66.87,7.11,42.54,lentil
120,37,17,23.85,77.06,6.99,82.3,cotton
64,50,18,20.35,57.06,6.69,83.24,maize
50,55,48,23.79,91.41,6.89,135.29,papaya
57,36,40,23.32,85.86,6.31,203.27,rice
33,18,40,21.16,88.23,6.62,103.99,pomegranate
45,70,50,43.21,93.3,6.79,249.28,papaya
18,76,21,28.72,58.39,5.83,141.83,pigeonpeas
113,62,21,24.06,83.86,6.14,85.3,cotton
69,43,16,20.18,56.97,5.69,65.5,maize
76,55,36,23.56,74.01,6.63,165.23,jute
51,59,17,27.76,65.89,6.61,63.28,blackgram
83,41,41,24.3,74.24,6.78,161.13,jute
22,57,21,19.36,21.7,5.79,114.82,kidneybeans
12,58,18,26.07,60.92,6.35,51.06,lentil
27,66,19,22.06,62.93,6.78,47.86,lentil
33,64,23,24.26,62.73,6.38,41.86,lentil
27,35,20,25.44,53.35,9.59,55.3,mothbeans
118,50,17,24.74,83.56,7.51,69.98,cotton
42,58,19,19.33,20.4,5.8,96.72,kidneybeans
31,15,12,22.29,91.13,6.42,112.26,orange
39,132,200,18.34,83.12,5.93,70.76,grapes
31,57,24,32.18,52.54,6.81,84.55,pigeonpeas
16,26,12,22.46,92.97,6.53,118.09,orange
41,52,19,30.69,84.55,6.9,53.47,mungbean
74,47,42,22.23,84.27,6.04,207.53,rice
18,30,29,27.86,46.99,5.57,98.69,mango
104,23,31,25.36,57.88,6.96,174.26,coffee
28,71,19,26.47,60.59,5.65,181.21,pigeonpeas
68,52,41,26.04,83.13,6.51,238.24,rice
99,14,54,27.36,91.05,6.22,25.76,muskmelon
16,21,28,26.77,94.35,5.75,185.55,coconut
38,29,34,27.56,92.46,5.92,162.38,coconut
27,52,16,28.1,68.33,6.6,41.01,lentil
33,15,11,19.5,93.01,6.34,102.97,orange
22,17,27,25.23,94.51,5.64,236.88,coconut
43,57,19,33.15,73.46,7.49,59.55,blackgram
99,86,52,28.36,84.11,5.7,106.44,banana
90,29,33,24.37,61.6,6.79,104.38,coffee
53,67,22,32.34,62.24,7.09,65.14,blackgram
120,49,16,25.43,77.59,7.31,81.73,cotton
24,72,21,22.26,66.82,6.5,41.8,lentil
31,27,29,35.88,47.67,5.8,92.57,mango
28,131,199,23.38,90.78,6.22,112.92,apple
92,47,41,23.18,86.54,6.47,262.92,rice
42,14,7,11.03,91.29,6.76,107.35,orange
46,66,75,20.15,17.84,6.7,82.0,chickpea
19,70,21,19.24,19.79,5.74,124.89,kidneybeans
34,69,21,17.95,61.34,7.02,41.17,lentil
29,66,19,31.09,55.7,6.82,135.74,pigeonpeas
28,49,19,28.49,88.61,6.56,50.81,mungbean
95,81,50,30.48,76.77,6.1,118.55,banana
18,139,200,22.26,93.17,5.74,112.15,apple
105,81,52,27.61,77.67,5.75,93.26,banana
38,73,18,32.79,68.31,6.93,70.85,blackgram
74,51,38,24.99,76.1,6.36,197.63,jute
87,46,39,23.82,85.88,6.77,240.55,rice
73,43,21,20.04,70.83,6.33,69.04,maize
35,46,21,28.93,88.8,6.34,48.11,mungbean
38,65,22,31.03,69.24,4.82,155.16,pigeonpeas
25,15,35,19.19,89.03,6.14,109.11,pomegranate
34,135,201,23.08,91.67,5.94,102.61,apple
115,20,52,27.49,94.42,6.42,28.67,muskmelon
29,66,80,18.69,15.83,8.1,79.48,chickpea
18,23,40,21.18,87.49,5.98,106.54,pomegranate
26,63,25,23.04,63.7,6.13,47.1,lentil
63,48,39,21.15,80.57,6.53,257.71,rice
81,96,52,24.25,83.35,5.94,116.2,banana
26,72,21,33.6,52.93,4.99,142.41,pigeonpeas
73,51,19,24.21,67.94,6.64,96.26,maize
26,27,41,21.24,89.03,7.3,107.65,pomegranate
38,55,50,34.06,90.98,6.77,128.32,papaya
33,22,10,19.8,94.07,6.71,117.98,orange
25,75,78,19.9,15.7,7.55,78.47,chickpea
77,47,40,26.9,80.67,6.62,195.88,rice
28,128,199,24.48,82.08,6.12,68.98,grapes
28,75,20,18.93,24.75,5.98,109.43,kidneybeans
106,15,50,28.78,94.17,6.35,22.94,muskmelon
18,12,44,17.72,91.51,6.34,106.09,pomegranate
31,132,206,22.35,92.3,5.96,119.55,apple
97,11,48,27.04,85.16,6.72,52.92,watermelon
23,137,197,22.9,92.03,6.0,109.17,apple
113,82,48,29.72,83.37,5.92,101.11,banana
85,47,38,24.42,86.22,6.36,252.01,rice
13,17,29,28.3,53.79,5.58,92.57,mango
84,46,38,21.77,83.61,6.24,233.9,rice
103,87,55,28.3,77.77,5.81,94.95,banana
20,70,20,23.98,65.93,6.34,37.72,lentil
26,131,203,22.04,95.21,5.86,105.69,apple
121,48,17,25.18,80.38,7.25,81.88,cotton
45,57,44,36.79,93.6,6.79,66.62,papaya
30,52,23,30.53,54.49,7.93,55.49,mothbeans
25,66,20,23.86,65.71,6.64,36.59,lentil
17,25,39,17.99,89.89,5.63,104.06,pomegranate
22,130,202,24.38,91.79,6.15,108.76,apple
15,60,25,35.0,44.93,6.15,127.96,pigeonpeas
138,49,18,22.15,75.85,7.69,88.9,cotton
26,121,203,23.13,94.32,5.78,103.88,apple
72,59,40,22.05,84.07,6.74,219.46,rice
28,13,10,23.81,90.57,6.32,111.15,orange
90,52,37,27.14,89.95,6.55,212.87,rice
41,69,76,18.31,15.59,6.94,71.87,chickpea
62,57,50,32.57,92.7,6.93,107.06,papaya
28,132,200,23.19,91.62,6.27,109.83,apple
86,45,16,22.92,64.03,6.73,92.36,maize
29,19,32,30.37,45.39,5.06,92.73,mango
92,46,40,24.29,85.62,6.67,242.17,rice
39,69,81,20.11,16.61,8.13,64.88,chickpea
29,16,30,26.58,95.17,6.15,195.85,coconut
27,52,20,21.92,63.44,6.98,44.39,lentil
25,28,42,19.88,85.22,6.98,105.61,pomegranate
120,24,53,28.42,93.88,6.43,25.38,muskmelon
35,68,82,19.65,16.84,6.56,61.31,chickpea
41,68,81,19.37,15.66,6.64,81.28,chickpea
30,21,37,18.92,89.37,6.22,104.29,pomegranate
24,33,19,27.01,48.82,5.8,43.03,mothbeans
29,13,27,25.81,97.98,6.27,144.42,coconut
118,53,21,24.37,80.87,6.72,78.94,cotton
28,76,23,26.3,66.74,6.67,46.46,lentil
39,42,18,27.36,44.31,9.59,45.53,mothbeans
41,60,20,29.73,63.6,7.71,65.86,blackgram
45,59,23,32.56,59.87,6.45,61.8,blackgram
101,16,52,25.66,84.31,6.45,48.18,watermelon
19,131,195,11.27,81.06,5.54,68.23,grapes
19,23,41,21.74,89.39,6.6,106.21,pomegranate
41,79,22,32.4,69.74,7.11,58.12,blackgram
75,43,17,23.58,64.76,6.09,79.2,maize
38,15,12,27.28,91.42,6.97,115.33,orange
18,49,19,32.74,83.12,6.74,40.8,mungbean
28,65,21,19.01,66.15,6.7,46.6,lentil
41,68,21,29.94,65.06,6.89,61.14,blackgram
33,14,41,20.02,85.67,6.44,104.74,pomegranate
104,17,51,27.38,82.24,6.65,52.45,watermelon
36,25,34,27.13,48.46,6.08,97.1,mango
39,135,202,22.31,91.57,5.67,113.02,apple
30,67,19,28.58,59.9,6.67,38.03,lentil
136,50,16,23.5,78.29,7.0,81.82,cotton
35,129,204,22.69,82.38,6.32,68.15,grapes
37,136,201,22.87,92.14,6.16,117.4,apple
41,66,78,18.6,18.55,6.83,75.66,chickpea
124,54,18,23.96,79.71,7.26,55.7,cotton
23,52,22,24.66,44.86,5.15,52.21,mothbeans
126,46,14,23.29,81.45,6.77,82.34,cotton
23,42,21,30.79,54.2,5.49,67.38,mothbeans
98,26,50,28.17,93.41,6.62,24.18,muskmelon
97,6,51,28.12,92.66,6.4,22.86,muskmelon
26,79,16,32.37,58.61,6.27,119.31,pigeonpeas
94,53,42,19.34,86.78,6.64,223.5,rice
94,19,47,24.97,81.45,6.83,47.98,watermelon
28,139,197,27.78,82.4,5.94,69.7,grapes
101,18,50,27.8,92.11,6.45,25.97,muskmelon
31,67,17,25.48,21.4,5.85,161.25,kidneybeans
26,10,29,26.26,95.79,6.15,192.5,coconut
25,53,20,29.59,84.48,6.36,43.5,mungbean
52,63,22,26.7,71.92,6.36,66.83,blackgram
35,72,78,20.59,16.71,8.06,80.95,chickpea
97,12,50,25.89,82.88,6.45,50.06,watermelon
87,87,50,26.57,81.96,6.05,108.33,banana
28,48,18,25.48,50.11,8.16,61.7,mothbeans
29,73,86,18.72,20.6,7.48,73.22,chickpea
21,130,200,22.64,91.57,6.21,107.64,apple
17,69,21,33.98,60.98,6.56,101.44,pigeonpeas
27,69,17,23.22,64.49,6.51,41.72,lentil
60,40,42,25.78,89.76,6.95,178.33,rice
27,143,202,4.1,81.79,5.78,71.14,grapes
26,62,18,22.28,66.52,6.59,42.01,lentil
94,39,31,24.57,61.72,6.91,165.1,coffee
84,51,17,20.22,63.25,6.06,87.09,maize
87,43,43,23.57,78.46,6.83,163.17,jute
16,12,35,26.38,95.6,6.06,170.14,coconut
129,54,17,24.96,82.48,7.26,59.72,cotton
70,48,26,24.06,69.35,6.24,94.6,maize
28,133,200,24.94,79.65,5.77,70.77,grapes
20,136,201,26.49,81.29,6.12,68.79,grapes
26,63,20,15.45,21.64,5.77,115.04,kidneybeans
72,43,15,26.35,67.54,6.15,96.67,maize
42,55,52,27.85,90.67,6.74,231.27,papaya
98,79,49,26.55,77.78,6.31,108.18,banana
19,30,32,31.07,48.41,6.38,100.6,mango
33,64,18,36.49,58.81,5.38,133.34,pigeonpeas
31,22,41,19.15,86.54,7.1,103.49,pomegranate
32,7,31,26.68,93.59,6.1,190.61,coconut
25,134,200,20.69,82.25,5.9,68.52,grapes
42,61,16,27.52,66.72,6.76,70.2,blackgram
35,75,81,22.62,17.51,7.74,78.11,chickpea
40,70,21,25.12,65.94,7.16,48.63,lentil
74,45,22,24.89,62.91,6.2,112.59,maize
28,15,41,24.62,86.96,6.58,100.27,pomegranate
31,69,77,20.97,14.16,7.45,71.31,chickpea
70,53,40,26.25,90.7,6.51,193.56,rice
32,65,22,19.36,22.43,5.98,129.56,kidneybeans
38,14,7,22.8,94.41,6.65,110.39,orange
78,45,19,21.19,55.66,5.88,67.62,maize
102,22,27,25.56,51.88,6.81,188.81,coffee
85,52,42,25.95,83.62,6.78,216.21,rice
23,70,18,29.33,57.94,6.3,155.9,pigeonpeas
45,72,81,20.13,17.33,7.67,74.63,chickpea
26,57,20,30.52,86.7,6.94,44.55,mungbean
45,55,17,31.34,67.98,6.94,64.02,blackgram
77,47,41,25.58,76.08,7.18,167.89,jute
32,28,31,30.79,48.45,5.36,89.56,mango
85,34,26,25.93,56.9,6.95,147.76,coffee
114,47,19,25.48,82.74,7.11,84.64,cotton
43,72,17,28.39,65.33,7.36,62.1,blackgram
30,54,21,30.2,65.93,6.97,53.14,lentil
23,69,21,18.16,20.82,5.74,113.84,kidneybeans
20,48,20,29.15,53.17,6.45,66.65,mothbeans
35,72,77,17.25,18.5,7.02,74.22,chickpea
33,67,81,20.35,15.82,7.36,67.91,chickpea
33,13,41,23.53,90.38,6.66,109.63,pomegranate
31,76,19,33.52,51.16,7.03,127.99,pigeonpeas
84,52,17,22.11,58.94,6.49,91.63,maize
68,43,37,24.63,79.22,6.42,253.5,rice
98,84,50,27.75,77.61,6.1,109.17,banana
26,26,31,32.27,49.12,5.68,92.84,mango
95,16,52,28.22,92.16,6.4,28.85,muskmelon
49,62,83,19.59,22.46,8.36,70.14,chickpea
43,71,20,29.61,66.66,7.44,63.08,blackgram
30,20,10,16.96,92.7,6.37,111.65,orange
50,58,47,30.8,91.16,7.04,156.71,papaya
36,16,30,26.35,90.93,6.37,172.81,coconut
28,20,26,26.97,97.17,6.05,187.2,coconut
102,21,30,25.35,62.92,6.53,134.88,coffee
73,41,41,25.79,85.1,6.47,255.95,rice
106,11,53,25.92,85.59,6.79,51.26,watermelon
19,139,203,22.46,93.02,6.36,116.98,apple
102,48,18,23.87,76.54,7.0,87.19,cotton
84,51,20,26.86,62.93,6.08,53.75,maize
45,55,22,30.28,64.21,7.22,68.75,blackgram
24,29,10,27.52,91.5,6.63,97.5,orange
132,54,20,24.33,77.35,6.7,74.33,cotton
38,68,24,28.28,69.52,6.91,69.97,blackgram
50,67,50,33.27,92.64,6.99,219.04,papaya
30,67,21,20.76,21.25,5.71,83.11,kidneybeans
31,131,202,24.17,80.71,6.04,72.09,grapes
46,53,44,34.85,91.58,6.74,227.03,papaya
54,60,79,21.76,16.53,6.85,75.98,chickpea
44,71,22,28.69,73.39,7.16,62.88,blackgram
26,50,20,27.19,63.99,8.04,47.2,mothbeans
28,122,200,26.08,83.5,5.63,75.73,grapes
25,62,22,20.32,21.07,5.82,128.32,kidneybeans
44,64,50,36.15,92.15,6.78,133.74,papaya
28,50,20,30.1,85.96,6.65,44.4,mungbean
