Crop,District,Soil,Rainfall,Temperature,Humidity,N,P,K,pH,Season,Irrigation,Yield
Rice,Ahmedabad,Black,1116.2,24.5,91.0,73.3,21.0,105.5,7.95,Kharif,Rainfed,5.21
Soybean,Ahmedabad,Black,1176.6,26.0,59.6,76.9,36.7,75.8,8.17,Kharif,Drip,3.81
Wheat,Ahmedabad,Sandy,594.5,12.4,55.7,55.6,84.4,28.1,7.46,Rabi,Canal,4.11
Cotton,Bhavnagar,Black,2014.8,31.9,68.2,113.1,74.6,95.6,5.84,Kharif,Sprinkler,2.65
Cotton,Rajkot,Clay,1870.7,25.7,89.2,50.2,75.9,24.0,8.1,Kharif,Sprinkler,2.44
Wheat,Surat,Sandy,471.2,13.4,60.5,78.6,51.9,85.0,6.3,Rabi,Canal,4.43
Soybean,Bhavnagar,Sandy,616.2,28.4,72.5,57.9,59.7,38.1,6.83,Kharif,Sprinkler,4.22
Soybean,Bhavnagar,Alluvial,1162.3,21.9,72.4,60.9,89.8,42.7,6.34,Kharif,Tube Well,3.54
Cotton,Surat,Black,904.9,25.1,77.2,61.7,11.7,24.6,7.54,Kharif,Canal,3.67
Maize,Bhavnagar,Sandy,1320.6,24.1,51.4,63.5,76.1,88.7,6.88,Kharif,Drip,5.09
Soybean,Rajkot,Alluvial,922.1,31.0,72.4,57.4,52.0,21.9,8.42,Kharif,Canal,3.95
Barley,Ahmedabad,Clay,714.2,22.0,49.4,57.9,20.0,83.8,5.62,Rabi,Sprinkler,4.2
Soybean,Surat,Sandy,904.1,24.4,52.7,100.5,75.7,40.7,6.76,Kharif,Sprinkler,3.92
Barley,Vadodara,Red,768.0,12.7,69.5,72.6,37.4,72.4,5.77,Rabi,Sprinkler,3.64
Wheat,Ahmedabad,Clay,453.5,14.6,42.0,90.5,77.2,16.8,5.65,Rabi,Rainfed,4.75
Rice,Rajkot,Black,1183.9,22.4,87.1,95.1,56.5,92.9,7.53,Kharif,Tube Well,5.54
Wheat,Junagadh,Black,731.6,16.3,66.6,94.4,16.2,68.8,6.53,Rabi,Tube Well,5.53
Wheat,Amreli,Clay,388.9,21.2,68.3,100.7,49.8,114.8,6.4,Rabi,Canal,5.18
Rice,Rajkot,Red,846.8,30.1,70.0,105.5,24.1,39.7,6.98,Kharif,Sprinkler,5.44
Cotton,Junagadh,Red,1154.7,34.5,82.2,62.1,76.6,66.8,8.23,Kharif,Drip,3.22
Soybean,Surat,Clay,502.1,31.8,81.7,26.7,76.6,63.1,6.28,Kharif,Canal,4.08
Wheat,Rajkot,Sandy,599.1,25.2,63.7,56.2,25.1,46.9,5.78,Rabi,Rainfed,4.09
Rice,Bhavnagar,Black,1518.6,23.5,77.7,74.3,68.7,103.2,7.13,Summer,Canal,5.55
Wheat,Ahmedabad,Black,645.5,21.5,63.9,95.4,31.3,19.1,6.87,Rabi,Canal,5.56
Cotton,Bhavnagar,Red,1394.7,26.8,70.5,20.8,47.4,87.0,6.18,Kharif,Drip,3.66
Maize,Vadodara,Alluvial,1067.6,24.0,65.3,57.2,71.0,113.3,8.32,Rabi,Rainfed,5.1
Rice,Vadodara,Clay,1673.8,28.6,91.3,52.6,10.3,32.1,6.55,Summer,Drip,5.45
Soybean,Junagadh,Alluvial,631.5,29.5,58.2,98.3,42.4,77.6,5.82,Kharif,Canal,4.61
Soybean,Ahmedabad,Alluvial,742.7,29.5,85.0,45.4,31.2,84.6,8.4,Kharif,Canal,4.23
Cotton,Vadodara,Clay,2150.1,24.3,74.0,32.0,31.7,100.7,6.63,Kharif,Sprinkler,2.02
Barley,Rajkot,Alluvial,889.8,20.8,54.6,40.0,88.9,101.2,6.34,Rabi,Canal,5.15
Wheat,Ahmedabad,Clay,595.2,21.9,65.6,40.9,38.9,81.9,5.71,Rabi,Sprinkler,4.96
Barley,Amreli,Red,368.9,20.9,70.1,61.4,41.2,108.6,7.94,Rabi,Sprinkler,4.32
Wheat,Ahmedabad,Alluvial,694.7,12.4,62.5,53.3,46.0,51.3,6.02,Rabi,Sprinkler,4.87
Barley,Ahmedabad,Black,455.8,22.0,63.3,61.2,11.5,87.4,8.34,Rabi,Drip,4.53
Maize,Ahmedabad,Alluvial,1146.3,24.2,75.6,48.0,75.1,76.8,6.13,Kharif,Rainfed,5.73
Soybean,Ahmedabad,Sandy,1246.9,23.8,59.0,124.0,63.5,62.0,6.96,Kharif,Sprinkler,3.35
Soybean,Bhavnagar,Black,897.4,19.8,60.2,124.3,82.4,15.1,7.28,Kharif,Canal,3.41
Rice,Junagadh,Alluvial,1150.5,33.6,78.9,78.4,84.8,81.9,8.2,Kharif,Sprinkler,5.21
Rice,Vadodara,Clay,1889.2,25.1,69.9,68.8,84.1,89.6,6.76,Kharif,Canal,4.86
Barley,Surat,Alluvial,716.5,16.0,60.5,33.1,87.3,33.4,7.44,Rabi,Tube Well,4.9
Soybean,Rajkot,Red,1053.0,30.5,52.8,59.7,29.9,118.7,6.67,Kharif,Rainfed,3.4
Cotton,Surat,Alluvial,1134.6,25.9,77.3,48.1,11.6,107.3,8.4,Kharif,Sprinkler,3.43
Wheat,Amreli,Red,889.1,21.1,66.0,23.8,19.7,81.5,8.2,Rabi,Canal,4.49
Barley,Bhavnagar,Clay,413.7,23.8,44.9,82.4,13.0,23.5,7.52,Rabi,Drip,4.43
Maize,Junagadh,Sandy,760.2,31.3,51.7,38.0,53.0,75.5,7.44,Rabi,Sprinkler,5.63
Soybean,Surat,Sandy,540.1,20.0,50.5,88.0,84.6,84.9,7.97,Kharif,Rainfed,2.74
Soybean,Junagadh,Clay,1116.0,25.0,76.8,78.2,22.0,83.1,6.02,Kharif,Rainfed,3.45
Soybean,Surat,Sandy,575.4,27.0,76.7,90.2,31.3,18.3,5.86,Kharif,Drip,4.12
Soybean,Amreli,Black,1102.3,29.4,59.1,55.6,10.1,116.1,8.25,Kharif,Canal,3.76
Barley,Bhavnagar,Sandy,406.0,12.2,61.6,135.3,82.2,88.2,5.79,Rabi,Drip,3.63
Wheat,Ahmedabad,Black,826.6,20.3,44.4,71.3,22.9,88.5,7.78,Rabi,Canal,5.23
Barley,Bhavnagar,Black,798.0,25.1,58.0,134.0,52.9,56.4,8.04,Rabi,Drip,4.25
Barley,Amreli,Black,673.3,25.1,65.4,130.1,82.7,78.5,7.08,Rabi,Canal,4.88
Rice,Junagadh,Alluvial,948.8,32.9,70.1,73.7,26.8,87.4,8.13,Summer,Sprinkler,5.19
Maize,Rajkot,Clay,839.6,21.6,58.5,74.9,70.8,36.6,7.63,Rabi,Tube Well,5.37
Soybean,Amreli,Red,1198.3,22.7,69.7,44.6,69.4,20.5,8.06,Kharif,Rainfed,2.75
Barley,Bhavnagar,Alluvial,848.3,13.8,46.2,79.2,16.6,35.6,8.33,Rabi,Tube Well,4.03
Barley,Surat,Black,857.8,19.6,49.4,104.3,62.7,118.9,6.3,Rabi,Tube Well,5.04
Soybean,Junagadh,Red,1399.5,29.2,77.5,81.2,34.0,30.9,6.35,Kharif,Tube Well,3.15
Soybean,Vadodara,Clay,675.5,22.4,71.7,96.6,66.0,26.8,8.05,Kharif,Canal,3.54
Wheat,Surat,Clay,780.7,14.4,57.9,78.5,60.0,114.3,7.24,Rabi,Tube Well,5.41
Cotton,Surat,Clay,1752.0,24.8,87.4,139.5,63.3,66.8,8.27,Kharif,Rainfed,2.65
Maize,Vadodara,Clay,547.5,26.8,51.9,120.4,51.0,70.3,7.18,Rabi,Canal,6.3
Cotton,Junagadh,Clay,1246.3,30.3,71.3,34.0,87.6,17.3,7.91,Kharif,Canal,3.57
Barley,Surat,Alluvial,405.5,14.8,75.0,20.3,61.1,29.8,8.26,Rabi,Sprinkler,4.31
Cotton,Rajkot,Red,1655.3,22.0,91.8,82.6,31.0,95.6,8.28,Kharif,Rainfed,2.08
Cotton,Ahmedabad,Clay,1361.4,26.9,88.2,116.4,22.3,53.5,6.62,Kharif,Sprinkler,4.02
Rice,Vadodara,Alluvial,1933.1,27.3,66.4,41.2,86.5,22.4,6.56,Kharif,Rainfed,3.86
Soybean,Surat,Sandy,1374.9,20.2,62.4,70.3,41.3,84.9,6.15,Kharif,Canal,2.41
Wheat,Ahmedabad,Red,625.2,17.8,45.9,42.5,10.8,24.6,7.17,Rabi,Canal,4.95
Maize,Ahmedabad,Sandy,1057.6,27.3,79.3,45.9,19.6,104.4,5.97,Kharif,Tube Well,5.17
Rice,Ahmedabad,Red,871.2,34.1,75.2,127.9,85.3,85.4,7.49,Summer,Canal,5.36
Cotton,Bhavnagar,Clay,1649.5,33.9,81.2,116.5,50.7,21.6,6.65,Kharif,Rainfed,2.88
Barley,Vadodara,Black,396.8,16.2,66.1,135.7,67.4,119.2,7.6,Rabi,Drip,5.26
Barley,Ahmedabad,Red,697.2,14.3,59.8,80.5,11.1,53.1,7.3,Rabi,Tube Well,4.0
Rice,Rajkot,Sandy,1188.5,35.1,86.7,89.3,61.8,18.1,7.35,Summer,Sprinkler,5.1
Rice,Bhavnagar,Alluvial,1241.6,31.6,91.1,48.5,88.3,55.6,6.3,Kharif,Drip,6.13
Soybean,Ahmedabad,Black,1310.3,27.3,53.7,100.6,60.8,99.6,7.98,Kharif,Rainfed,3.37
Rice,Ahmedabad,Clay,1045.5,22.1,69.5,113.1,45.7,62.0,8.37,Summer,Tube Well,5.12
Wheat,Vadodara,Clay,816.7,24.7,59.0,95.5,30.6,99.1,7.4,Rabi,Rainfed,4.68
Wheat,Junagadh,Clay,456.0,20.5,63.7,83.1,67.4,76.1,8.34,Rabi,Drip,5.4
Wheat,Surat,Clay,641.5,12.4,48.6,75.2,60.3,73.5,7.73,Rabi,Sprinkler,4.68
Barley,Rajkot,Sandy,698.6,14.0,55.5,87.4,77.9,61.6,8.26,Rabi,Tube Well,3.48
Soybean,Rajkot,Red,1024.8,31.4,73.1,82.7,11.9,58.4,6.4,Kharif,Sprinkler,3.69
Cotton,Junagadh,Black,1235.4,34.4,88.2,108.2,73.8,43.3,8.16,Kharif,Drip,3.83
Cotton,Surat,Alluvial,1019.7,35.3,88.0,52.2,57.3,90.8,8.32,Kharif,Drip,3.33
Cotton,Amreli,Red,1573.8,23.6,68.8,83.5,31.5,17.2,7.67,Kharif,Rainfed,3.1
Maize,Amreli,Clay,1371.9,24.8,52.2,86.2,77.3,119.7,6.79,Rabi,Canal,5.29
Barley,Rajkot,Clay,476.7,21.6,74.4,102.9,80.7,114.6,6.96,Rabi,Tube Well,4.97
Wheat,Vadodara,Sandy,388.8,25.1,66.8,99.0,75.9,83.0,8.41,Rabi,Tube Well,4.35
Soybean,Rajkot,Sandy,1154.8,26.8,62.6,68.7,87.6,26.8,6.31,Kharif,Sprinkler,3.53
Cotton,Surat,Black,1645.3,26.2,77.3,46.1,87.3,28.7,6.62,Kharif,Drip,3.8
Rice,Bhavnagar,Alluvial,850.4,31.2,73.6,87.2,32.3,51.6,8.27,Summer,Tube Well,5.4
Rice,Junagadh,Alluvial,1511.9,25.3,90.4,107.3,88.5,31.3,6.18,Kharif,Tube Well,5.89
Soybean,Vadodara,Black,522.3,29.7,62.8,121.0,54.4,109.7,8.28,Kharif,Sprinkler,4.29
Soybean,Ahmedabad,Black,1102.4,30.4,66.1,92.8,25.1,99.5,8.4,Kharif,Tube Well,3.73
Rice,Rajkot,Black,1841.0,32.5,74.5,78.0,33.6,42.2,5.58,Kharif,Canal,4.3
Maize,Rajkot,Clay,1293.3,26.3,71.3,68.4,64.1,34.9,7.96,Rabi,Sprinkler,5.19
Rice,Ahmedabad,Sandy,1691.6,35.6,89.8,27.2,40.1,112.2,7.01,Kharif,Rainfed,3.32
Maize,Rajkot,Alluvial,951.6,24.1,61.9,106.3,33.0,41.2,6.57,Kharif,Rainfed,5.86
Maize,Bhavnagar,Black,745.1,19.6,58.8,130.5,56.5,71.0,7.29,Rabi,Tube Well,5.2
Cotton,Surat,Black,1464.6,25.6,89.6,128.0,72.6,35.5,5.76,Kharif,Drip,4.1
Rice,Amreli,Alluvial,1079.5,27.2,80.1,107.1,19.1,57.7,6.96,Summer,Drip,6.24
Wheat,Rajkot,Sandy,507.2,13.0,52.1,109.2,45.0,100.9,7.15,Rabi,Rainfed,4.07
Soybean,Rajkot,Alluvial,1109.9,21.2,71.1,103.7,17.2,67.2,6.29,Kharif,Rainfed,3.16
Cotton,Ahmedabad,Black,1403.3,24.8,78.1,69.0,44.3,76.5,7.06,Kharif,Canal,4.15
Rice,Surat,Alluvial,1914.4,26.3,67.2,131.9,41.6,98.2,6.34,Kharif,Rainfed,5.09
Barley,Junagadh,Clay,384.8,13.8,70.1,96.1,30.3,73.3,7.08,Rabi,Tube Well,4.06
Maize,Surat,Red,976.6,23.6,60.4,101.8,26.6,98.9,7.91,Kharif,Sprinkler,5.58
Cotton,Bhavnagar,Alluvial,1837.2,31.3,75.7,117.1,33.6,75.0,7.74,Kharif,Canal,3.12
Wheat,Amreli,Black,861.5,19.6,63.2,128.4,17.9,39.4,7.63,Rabi,Drip,5.47
Cotton,Ahmedabad,Red,1015.5,31.9,72.3,76.2,57.3,108.1,8.17,Kharif,Drip,3.94
Soybean,Vadodara,Black,1226.5,24.4,57.8,132.0,37.6,31.9,7.19,Kharif,Canal,3.93
Rice,Vadodara,Alluvial,1418.7,24.0,87.9,114.8,61.1,104.6,7.71,Kharif,Tube Well,5.68
Maize,Rajkot,Clay,1002.1,22.3,53.0,20.2,46.0,102.9,7.22,Kharif,Canal,5.43
Rice,Junagadh,Clay,1023.6,24.3,73.6,115.1,82.5,117.4,6.2,Kharif,Drip,5.8
Soybean,Junagadh,Sandy,886.8,22.0,75.8,74.4,89.1,20.7,6.57,Kharif,Rainfed,3.24
Soybean,Rajkot,Sandy,1156.3,30.2,82.9,116.6,78.0,72.8,7.98,Kharif,Rainfed,3.02
Rice,Vadodara,Black,937.3,29.4,66.7,33.3,27.6,63.8,6.8,Summer,Sprinkler,5.27
Rice,Bhavnagar,Black,1590.8,24.5,68.0,26.5,63.3,99.8,7.03,Summer,Sprinkler,5.31
Wheat,Rajkot,Red,795.2,23.2,72.6,112.4,69.8,39.6,5.68,Rabi,Drip,5.24
Wheat,Junagadh,Black,509.5,23.9,53.6,58.8,84.8,53.1,6.67,Rabi,Sprinkler,5.48
Maize,Junagadh,Sandy,650.3,19.7,53.0,129.1,25.5,58.7,6.85,Kharif,Canal,4.69
Soybean,Amreli,Sandy,888.7,23.4,74.1,92.3,18.6,68.4,7.71,Kharif,Canal,3.3
Rice,Surat,Alluvial,1080.9,32.0,74.4,56.8,22.2,42.7,6.78,Summer,Drip,5.71
Soybean,Amreli,Alluvial,891.2,20.7,56.7,112.3,31.2,95.6,6.12,Kharif,Tube Well,3.73
Wheat,Bhavnagar,Red,547.0,14.1,57.8,75.3,82.1,112.7,6.65,Rabi,Rainfed,4.3
Wheat,Rajkot,Alluvial,790.8,19.4,56.9,101.7,78.7,81.0,7.79,Rabi,Canal,5.68
Cotton,Rajkot,Red,1476.3,27.8,94.3,44.1,27.2,45.6,6.02,Kharif,Drip,3.98
Cotton,Surat,Sandy,2012.4,24.4,90.5,125.3,54.0,83.9,6.65,Kharif,Rainfed,2.19
Wheat,Amreli,Alluvial,631.4,14.2,41.9,73.5,13.9,74.8,6.65,Rabi,Sprinkler,4.98
Barley,Amreli,Clay,676.1,19.5,40.2,28.7,33.2,107.6,5.94,Rabi,Canal,4.58
Maize,Junagadh,Red,1298.8,27.0,64.5,55.1,40.0,68.4,6.46,Kharif,Rainfed,5.0
Barley,Surat,Sandy,514.0,13.8,69.5,63.5,62.8,64.4,6.1,Rabi,Canal,3.84
Rice,Amreli,Sandy,1848.1,33.6,88.1,24.7,25.5,71.3,8.3,Kharif,Sprinkler,3.44
Barley,Rajkot,Alluvial,516.8,18.0,56.5,38.9,12.5,114.4,6.22,Rabi,Drip,4.98
Barley,Junagadh,Alluvial,600.6,21.9,68.7,48.4,62.9,56.2,6.61,Rabi,Drip,5.32
Maize,Rajkot,Clay,1252.3,19.4,73.7,49.8,11.2,32.5,7.32,Kharif,Tube Well,4.13
Wheat,Bhavnagar,Red,735.3,17.6,42.7,107.9,59.4,15.3,5.53,Rabi,Drip,5.14
Rice,Ahmedabad,Sandy,1435.9,34.1,92.5,139.6,22.3,105.6,6.3,Summer,Drip,4.92
Rice,Amreli,Alluvial,1763.5,33.0,88.9,36.3,45.8,102.1,6.41,Summer,Drip,5.55
Maize,Bhavnagar,Black,1299.1,24.4,69.5,68.5,46.8,16.6,6.35,Rabi,Canal,5.59
Maize,Ahmedabad,Alluvial,664.6,23.1,65.1,94.8,16.0,67.9,6.05,Kharif,Canal,5.86
Rice,Rajkot,Alluvial,1405.9,28.8,84.4,22.2,62.3,80.0,6.43,Kharif,Rainfed,5.5
Rice,Bhavnagar,Sandy,1969.8,22.6,72.1,126.8,10.7,36.1,8.38,Summer,Sprinkler,3.38
Wheat,Amreli,Sandy,715.3,19.4,73.9,106.9,27.0,26.0,7.57,Rabi,Canal,5.04
Cotton,Junagadh,Black,1781.4,23.6,88.2,79.0,72.7,76.3,5.75,Kharif,Canal,3.2
Rice,Amreli,Black,2123.2,26.0,78.8,100.6,23.0,66.1,7.72,Kharif,Canal,4.19
Rice,Vadodara,Alluvial,985.6,32.8,72.9,132.0,67.6,94.2,6.16,Kharif,Tube Well,5.88
Soybean,Vadodara,Black,1090.1,21.3,59.8,118.5,56.7,68.4,6.46,Kharif,Rainfed,3.28
Cotton,Ahmedabad,Alluvial,1680.9,31.8,86.3,26.2,78.8,63.1,6.29,Kharif,Canal,3.73
Soybean,Vadodara,Red,811.6,29.3,62.5,32.1,87.0,83.5,6.87,Kharif,Rainfed,3.66
Cotton,Junagadh,Clay,1240.7,28.8,79.3,76.6,24.1,30.2,6.26,Kharif,Sprinkler,3.76
Maize,Surat,Black,658.8,29.4,69.0,35.7,71.3,112.9,8.34,Rabi,Drip,5.9
Wheat,Amreli,Black,511.3,18.9,55.4,111.2,43.6,114.1,8.21,Rabi,Drip,5.54
Soybean,Amreli,Black,593.2,19.5,53.5,21.4,53.9,117.2,6.82,Kharif,Rainfed,3.12
Cotton,Vadodara,Black,954.0,35.3,77.7,21.1,45.4,19.8,7.13,Kharif,Canal,3.02
Cotton,Junagadh,Black,1774.2,24.3,87.6,136.2,72.4,17.4,7.3,Kharif,Tube Well,3.55
Barley,Surat,Alluvial,796.8,23.9,72.0,51.8,82.3,48.7,7.16,Rabi,Drip,5.25
Cotton,Bhavnagar,Alluvial,1422.3,25.6,70.7,100.4,10.0,99.6,5.74,Kharif,Sprinkler,3.87
Barley,Bhavnagar,Alluvial,419.4,13.7,45.2,23.6,15.7,84.3,6.79,Rabi,Sprinkler,4.0
Soybean,Rajkot,Black,1013.3,18.8,54.9,94.7,26.6,67.9,7.13,Kharif,Drip,3.35
Rice,Junagadh,Clay,890.0,31.0,82.6,127.5,62.3,51.7,8.4,Summer,Drip,5.45
Rice,Rajkot,Sandy,1323.0,31.4,67.2,50.8,67.1,65.4,6.71,Summer,Rainfed,4.81
Rice,Surat,Sandy,2161.7,30.5,68.6,58.5,79.4,39.4,7.32,Summer,Sprinkler,3.16
Cotton,Vadodara,Red,1840.0,31.3,72.1,31.7,56.1,73.1,6.07,Kharif,Tube Well,2.99
Rice,Vadodara,Red,1436.9,28.6,86.2,132.9,36.3,19.4,6.99,Summer,Tube Well,5.53
Soybean,Ahmedabad,Black,1110.9,20.5,75.1,104.7,28.7,43.3,7.46,Kharif,Rainfed,2.81
Barley,Vadodara,Clay,668.5,14.6,71.5,100.9,60.7,25.4,7.31,Rabi,Drip,4.71
Rice,Rajkot,Red,1151.4,31.6,85.5,80.2,72.2,103.3,7.24,Summer,Rainfed,5.03
Barley,Surat,Black,450.7,20.3,59.6,108.7,75.0,28.5,5.56,Rabi,Sprinkler,5.1
Maize,Rajkot,Black,1121.6,26.0,64.2,63.6,27.3,85.3,8.41,Rabi,Drip,5.66
Wheat,Junagadh,Clay,633.9,16.3,64.1,123.7,33.9,35.3,5.85,Rabi,Rainfed,4.68
Soybean,Junagadh,Alluvial,874.2,24.6,62.9,32.1,34.8,84.7,7.5,Kharif,Rainfed,3.85
Soybean,Ahmedabad,Red,1258.7,25.3,80.1,20.7,12.8,110.7,7.83,Kharif,Rainfed,2.38
Rice,Amreli,Alluvial,1275.5,31.9,81.7,50.7,62.1,27.2,7.11,Kharif,Drip,5.6
Maize,Rajkot,Clay,1385.4,31.5,61.2,139.6,77.6,79.2,5.62,Kharif,Rainfed,4.57
Cotton,Rajkot,Clay,1968.2,33.7,85.9,55.0,36.9,47.4,5.56,Kharif,Drip,2.61
Cotton,Ahmedabad,Alluvial,2020.2,28.3,75.3,36.6,45.2,67.1,6.71,Kharif,Drip,3.19
Rice,Ahmedabad,Black,2141.0,34.4,93.0,123.0,65.5,32.9,6.32,Summer,Sprinkler,3.74
Rice,Vadodara,Black,1736.3,29.6,90.0,35.0,20.4,73.5,8.34,Summer,Sprinkler,4.5
Cotton,Bhavnagar,Alluvial,2102.6,33.7,94.9,22.7,19.0,79.0,7.96,Kharif,Drip,1.73
Wheat,Rajkot,Red,553.2,19.1,59.6,107.4,38.4,79.3,7.26,Rabi,Rainfed,5.0
Rice,Vadodara,Alluvial,967.0,25.1,80.0,120.9,66.1,97.8,6.55,Kharif,Sprinkler,5.7
Rice,Rajkot,Alluvial,2184.9,24.3,66.4,113.5,30.2,102.1,7.61,Kharif,Rainfed,3.31
Maize,Ahmedabad,Alluvial,1270.0,25.4,58.9,101.1,53.4,39.5,7.22,Rabi,Rainfed,5.08
Soybean,Junagadh,Red,1238.6,18.5,62.9,85.1,21.8,93.4,5.53,Kharif,Drip,2.52
Barley,Junagadh,Red,742.9,24.8,64.7,100.6,41.5,15.1,5.86,Rabi,Rainfed,4.43
Wheat,Vadodara,Red,390.8,14.7,69.4,107.0,81.6,27.3,8.47,Rabi,Drip,4.81
Soybean,Surat,Alluvial,1161.4,22.3,56.2,114.4,35.0,111.0,8.02,Kharif,Drip,3.88
Barley,Rajkot,Red,448.4,24.6,53.9,49.4,45.9,48.7,7.73,Rabi,Sprinkler,4.38
Maize,Rajkot,Clay,583.0,28.2,62.2,101.7,39.8,30.3,6.72,Rabi,Sprinkler,6.24
Soybean,Rajkot,Alluvial,1254.1,30.4,82.3,32.5,20.3,73.5,8.18,Kharif,Tube Well,3.17
Soybean,Rajkot,Alluvial,648.2,27.6,68.0,44.0,35.6,77.1,5.72,Kharif,Sprinkler,4.56
Rice,Junagadh,Sandy,1809.8,24.2,90.5,107.1,77.3,46.4,6.45,Kharif,Sprinkler,4.67
Barley,Rajkot,Red,731.0,24.2,52.0,112.4,54.9,107.7,7.08,Rabi,Sprinkler,5.24
Rice,Vadodara,Clay,874.8,35.1,80.9,93.8,48.6,24.8,7.8,Kharif,Drip,5.0
Maize,Surat,Black,1012.6,28.3,55.0,125.9,56.6,28.3,6.89,Rabi,Drip,6.54
Soybean,Vadodara,Red,1216.2,22.8,50.2,77.5,11.3,24.7,6.48,Kharif,Rainfed,2.67
Cotton,Amreli,Alluvial,1002.4,31.7,69.3,96.8,14.4,57.8,6.03,Kharif,Sprinkler,3.97
Wheat,Amreli,Red,863.5,19.6,58.5,36.9,10.1,100.1,5.76,Rabi,Drip,4.88
Barley,Vadodara,Clay,464.8,21.3,42.8,92.5,23.1,92.3,6.4,Rabi,Canal,5.36
Rice,Junagadh,Sandy,2090.0,23.8,78.4,117.8,81.1,69.5,7.2,Kharif,Canal,3.59
Barley,Amreli,Black,681.5,19.8,40.5,29.7,56.2,113.3,8.1,Rabi,Sprinkler,4.73
Barley,Bhavnagar,Red,706.4,16.7,56.4,123.0,33.9,112.0,6.19,Rabi,Drip,5.02
Wheat,Surat,Clay,590.5,25.1,62.1,54.6,61.1,45.1,6.38,Rabi,Tube Well,5.19
Soybean,Vadodara,Clay,852.8,21.7,83.4,92.4,84.7,36.4,5.94,Kharif,Drip,3.97
Barley,Bhavnagar,Black,452.6,15.8,68.0,74.5,63.6,48.4,6.64,Rabi,Rainfed,4.78
Wheat,Rajkot,Black,406.9,18.0,48.0,81.9,30.3,113.8,8.22,Rabi,Tube Well,5.11
Maize,Bhavnagar,Alluvial,870.7,28.2,65.8,122.8,85.5,50.3,7.18,Kharif,Canal,6.34
Barley,Vadodara,Black,683.1,21.7,53.4,124.3,55.5,61.1,5.7,Rabi,Tube Well,4.97
Wheat,Bhavnagar,Clay,826.5,12.5,71.9,34.2,61.7,41.3,8.01,Rabi,Tube Well,3.97
Wheat,Bhavnagar,Clay,835.0,17.7,50.1,21.7,56.0,57.2,6.62,Rabi,Drip,5.34
Cotton,Ahmedabad,Alluvial,2178.2,26.2,83.0,113.2,69.9,49.5,7.33,Kharif,Canal,2.3
Rice,Junagadh,Alluvial,1569.5,34.4,68.1,118.7,26.8,56.4,6.45,Kharif,Canal,5.19
Barley,Rajkot,Black,790.9,18.2,57.2,121.9,66.5,66.5,6.27,Rabi,Tube Well,5.2
Maize,Surat,Clay,540.2,22.3,60.2,117.3,17.0,99.6,7.51,Kharif,Rainfed,5.51
Maize,Surat,Black,1048.1,28.8,65.6,76.7,61.5,26.3,6.81,Kharif,Drip,6.02
Maize,Rajkot,Alluvial,1195.3,20.4,78.8,112.3,57.7,50.4,6.29,Kharif,Sprinkler,4.89
Maize,Bhavnagar,Clay,823.4,24.7,62.7,96.9,82.1,32.2,6.64,Kharif,Sprinkler,6.15
Barley,Ahmedabad,Red,540.2,14.4,42.8,103.2,72.8,101.8,8.24,Rabi,Sprinkler,4.1
Cotton,Bhavnagar,Red,1868.6,30.2,72.8,137.8,81.8,28.5,5.58,Kharif,Canal,3.16
Maize,Ahmedabad,Clay,733.3,18.3,51.3,129.8,38.2,58.1,5.56,Kharif,Tube Well,4.89
Soybean,Bhavnagar,Clay,1178.4,24.3,60.8,77.9,35.8,103.1,6.39,Kharif,Sprinkler,3.57
Barley,Amreli,Clay,684.7,19.8,73.6,95.3,30.8,45.7,7.62,Rabi,Rainfed,4.68
Rice,Amreli,Alluvial,934.1,34.9,82.1,63.6,70.5,42.0,7.58,Summer,Tube Well,5.44
Maize,Junagadh,Alluvial,1150.6,20.9,58.7,60.4,57.1,62.7,7.74,Rabi,Canal,4.98
Wheat,Vadodara,Sandy,777.1,23.5,42.1,93.3,40.3,98.4,8.12,Rabi,Sprinkler,4.73
Barley,Ahmedabad,Red,379.0,18.4,73.0,126.5,18.2,93.1,7.92,Rabi,Rainfed,4.36
Maize,Rajkot,Sandy,601.5,27.9,81.9,98.3,71.9,52.6,6.05,Kharif,Drip,5.77
Cotton,Junagadh,Sandy,2113.3,24.1,65.3,48.6,75.6,37.0,6.22,Kharif,Tube Well,1.8
Maize,Ahmedabad,Black,1117.3,29.7,58.7,93.1,56.8,53.8,6.96,Rabi,Canal,5.88
Rice,Ahmedabad,Sandy,1725.0,35.3,86.9,26.2,80.7,105.6,6.83,Kharif,Rainfed,3.49
Barley,Vadodara,Alluvial,526.1,24.8,54.3,109.8,19.1,41.0,7.92,Rabi,Tube Well,4.5
Maize,Junagadh,Sandy,678.7,24.9,76.0,112.4,50.0,47.0,8.42,Kharif,Canal,5.62
Rice,Amreli,Sandy,1823.5,25.4,70.2,83.6,33.2,81.0,5.85,Kharif,Canal,4.19
Barley,Vadodara,Red,811.4,12.5,58.2,88.1,54.9,64.9,7.87,Rabi,Canal,4.16
Barley,Vadodara,Red,688.6,21.7,54.1,125.0,43.2,57.3,5.61,Rabi,Rainfed,4.79
Barley,Bhavnagar,Red,526.5,15.5,58.7,118.9,18.3,114.0,7.89,Rabi,Tube Well,4.42
Cotton,Surat,Alluvial,1338.9,27.6,88.5,135.5,20.1,59.2,6.94,Kharif,Canal,4.12
